name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
BluntCrazeMan,https://www.nairaland.com/bluntcrazeman,,"December 30, 2020",7:27pm On Jul 25,,,,1 month & 14 days,5449,272
Nupslam,https://www.nairaland.com/nupslam,,"September 21, 2020",10:18pm On Jul 25,,,,1 day & 16 hours,17,2
Badowski,https://www.nairaland.com/badowski,,"September 21, 2020",6:44pm On Jul 25,,,,9 days & 3 hours,43,0
sob123,https://www.nairaland.com/sob123,,"May 14, 2022",12:08am,,m,,1 day & 13 hours,2,0
Abdul4trust1,https://www.nairaland.com/abdul4trust1,Edo State,"September 01, 2015",9:12pm On Jul 25,Never admit failure in life until you have make your last attempt and never make your last attempt until you are succeeded.,m,Abdul4trust1,2 months & 19 days,2033,58
Joyrise,https://www.nairaland.com/joyrise,,"October 15, 2016",6:56pm On Jul 25,,,,26 days & 5 hours,236,0
caracas,https://www.nairaland.com/caracas,,"May 04, 2016",8:37pm On Jul 25,,,,2 months & 2 days,1936,0
Murphyenemuwe,https://www.nairaland.com/murphyenemuwe,,"May 16, 2017",8:32pm On Jul 25,,,,1 month & 21 days,368,1
Evaremedy,https://www.nairaland.com/evaremedy,,"June 16, 2022",1:13am,,,,2 days & 19 hours,60,5
GoodLife4live,https://www.nairaland.com/goodlife4live,,"July 05, 2022",10:49pm On Jul 25,,,,1 day & 7 hours,101,0
porka,https://www.nairaland.com/porka,,"November 07, 2008",12:56am,,,,2 months & 13 days,3312,7
