name,profile_link,location,time_registered,last_seen
Kennyolowo,https://www.nairaland.com/kennyolowo,"Meiran, Lagos","May 08, 2013",: 9:41pm On Jul 24
TechCrunch909,https://www.nairaland.com/techcrunch909,,"December 11, 2014",: 9:45am On Dec 19
ogunleye112,https://www.nairaland.com/ogunleye112,Lagos Nigeria,"June 09, 2013",: 4:56pm On Feb 08
luksybee,https://www.nairaland.com/luksybee,Planet earth ,"December 02, 2014",: 4:51pm On Jul 10
hassoun,https://www.nairaland.com/hassoun,,"December 18, 2014",: 11:24pm On Dec 18
kalakuta100,https://www.nairaland.com/kalakuta100,,"November 03, 2014",: 10:34am On Mar 02
israelnojr,https://www.nairaland.com/israelnojr,lagos,"August 05, 2014",: 7:34pm On Jul 20
aleeypanda,https://www.nairaland.com/aleeypanda,UK,"January 04, 2015",: 9:41am On Feb 27
2dgamearena,https://www.nairaland.com/2dgamearena,,"January 06, 2015",: 9:03pm On Sep 22
spacyzuma,https://www.nairaland.com/spacyzuma,Scotland,"August 25, 2010",: 9:31am On Jul 08
lordraiden,https://www.nairaland.com/lordraiden,around d world,"July 05, 2014",: 8:47am
minaamby,https://www.nairaland.com/minaamby,,"January 23, 2015",: 7:39pm On Feb 15
toxco,https://www.nairaland.com/toxco,,"March 27, 2013",: 11:12pm On Jun 06
gj22,https://www.nairaland.com/gj22,,"December 01, 2014",: 10:38pm On Mar 12
peteruuu,https://www.nairaland.com/peteruuu,Nigeria,"October 31, 2014",: 3:56pm On Apr 27
shcash,https://www.nairaland.com/shcash,,"October 01, 2009",: 8:36am On Aug 12
Vectormike,https://www.nairaland.com/vectormike,Niqeria,"January 23, 2015",: 10:02pm On Dec 28
micheal5772,https://www.nairaland.com/micheal5772,Ogun state,"August 10, 2012",: 10:19pm On May 14
yomiskaly,https://www.nairaland.com/yomiskaly,,"February 11, 2015",: 10:01pm On Dec 25
trigar12,https://www.nairaland.com/trigar12,Lagos,"February 29, 2012",: 2:26pm
dibass,https://www.nairaland.com/dibass,,"December 16, 2013",: 4:36pm On Dec 30
e90,https://www.nairaland.com/e90,Warri,"January 18, 2011",: 1:36pm
veave,https://www.nairaland.com/veave,Abuja,"August 26, 2013",: 2:48pm On Nov 10
subair1989,https://www.nairaland.com/subair1989,Lagos,"August 12, 2014",: 11:30am On Nov 11
alhuxxyn,https://www.nairaland.com/alhuxxyn,,"February 22, 2015",: 11:33pm On Feb 27
alayo22002,https://www.nairaland.com/alayo22002,OGUN STATE,"August 13, 2013",: 12:50pm On Aug 24
Raypawer,https://www.nairaland.com/raypawer,Nigeria,"March 12, 2013",: 10:25am
pumpin26,https://www.nairaland.com/pumpin26,,"December 16, 2013",: 8:20pm On Nov 21
Alexchuka,https://www.nairaland.com/alexchuka,,"September 03, 2012",: 11:48pm On Jan 16
messo4331,https://www.nairaland.com/messo4331,,"June 22, 2012",: 7:48am On Jul 17
adelaf4me,https://www.nairaland.com/adelaf4me,,"August 31, 2013",: 9:38pm On Jul 01
fortech91,https://www.nairaland.com/fortech91,,"August 03, 2013",: 8:59am On May 02
AmaLearner,https://www.nairaland.com/amalearner,,"December 31, 2014",: 6:44pm On Jul 08
johnero353,https://www.nairaland.com/johnero353,uyo,"March 10, 2015",: 8:17am
rukkykf,https://www.nairaland.com/rukkykf,,"March 15, 2015",: 8:01pm On Jan 04
Wagasigiungu,https://www.nairaland.com/wagasigiungu,City of Commerce ,"August 25, 2014",: 11:23am On Oct 28
micro123,https://www.nairaland.com/micro123,,"March 18, 2015",: 5:08pm On Mar 18
xtremrules,https://www.nairaland.com/xtremrules,,"October 04, 2011",: 1:48am On Mar 31
MockinJay,https://www.nairaland.com/mockinjay,Please Wait! Loading................ ,"February 08, 2015",: 12:49am On May 30
trendymart,https://www.nairaland.com/trendymart,,"November 11, 2010",: 2:12am On Jun 12
bussieboi,https://www.nairaland.com/bussieboi,lagos,"January 06, 2015",: 10:03am On Dec 22
Harry4cas,https://www.nairaland.com/harry4cas,,"October 11, 2012",: 4:54pm On Jul 18
Corn99,https://www.nairaland.com/corn99,Everywhere,"September 01, 2013",: 3:10pm On Jun 04
Dalton23,https://www.nairaland.com/dalton23,,"April 27, 2015",: 1:37pm On Jul 20
oluseyerichard,https://www.nairaland.com/oluseyerichard,,"November 12, 2014",: 11:54am On Nov 13
Ellehanna,https://www.nairaland.com/ellehanna,,"October 10, 2012",: 9:15am On Oct 11
codemarshal08,https://www.nairaland.com/codemarshal08,LAGOS,"August 14, 2014",: 3:09pm
Abduletudaye,https://www.nairaland.com/abduletudaye,,"October 23, 2013",: 3:20pm
Adesina13,https://www.nairaland.com/adesina13,,"November 23, 2013",: 10:31pm On Jun 16
happylala5,https://www.nairaland.com/happylala5,RIVERS,"September 22, 2014",: 6:40am On Jul 24
ChinenyeN,https://www.nairaland.com/chinenyen,Ala Ngwa,"September 11, 2007",: 1:45am
megasamuel,https://www.nairaland.com/megasamuel,Lagos ,"January 01, 2015",: 10:53pm On Jul 24
anetuno,https://www.nairaland.com/anetuno,,"February 18, 2015",: 1:43pm
Krestkross,https://www.nairaland.com/krestkross,,"February 27, 2013",: 7:36am On May 12
rayval,https://www.nairaland.com/rayval,Lagos,"September 07, 2014",: 7:06am
TRADELYN,https://www.nairaland.com/tradelyn,,"November 18, 2013",: 8:21am
joedrae,https://www.nairaland.com/joedrae,Lagos,"March 22, 2013",: 11:28pm On Feb 14
kelly008,https://www.nairaland.com/kelly008,,"May 30, 2015",: 3:23pm On Sep 22
skypeople,https://www.nairaland.com/skypeople,JUPITER,"May 30, 2015",: 5:51pm On Aug 06
scentmarlc,https://www.nairaland.com/scentmarlc,lagos,"December 22, 2013",: 11:28am On Jul 21
Ramos16,https://www.nairaland.com/ramos16,,"May 24, 2015",: 4:19am
pulcherima,https://www.nairaland.com/pulcherima,,"May 27, 2015",: 11:08am On Oct 26
Satindersingh1,https://www.nairaland.com/satindersingh1,,"June 02, 2015",: 10:58am On Jun 05
beloxxi,https://www.nairaland.com/beloxxi,everywhere,"January 10, 2015",: 11:08am On Dec 19
infinitycane,https://www.nairaland.com/infinitycane,,"February 16, 2012",: 9:36am On Jan 18
teewhydope,https://www.nairaland.com/teewhydope,africa,"December 04, 2014",: 3:21pm
izutex007,https://www.nairaland.com/izutex007,Lagos,"October 15, 2014",: 11:10pm On May 11
Jesuspolice,https://www.nairaland.com/jesuspolice,,"June 06, 2015",: 5:51pm On Nov 24
tmann626,https://www.nairaland.com/tmann626,,"July 19, 2014",: 3:08pm
JohnDoe2015,https://www.nairaland.com/johndoe2015,,"June 15, 2015",: 5:00pm On Jun 28
clintwine,https://www.nairaland.com/clintwine,london,"April 02, 2006",: 3:20pm
RedEagle,https://www.nairaland.com/redeagle,,"June 18, 2015",: 12:12pm On Jan 27
kncokolo,https://www.nairaland.com/kncokolo,,"September 06, 2014",: 3:50pm On Feb 12
liricyst,https://www.nairaland.com/liricyst,Lagos Nigeria,"July 18, 2013",: 10:25pm On Feb 06
oluwadotman,https://www.nairaland.com/oluwadotman,,"May 27, 2015",: 4:38am On Nov 26
opakay,https://www.nairaland.com/opakay,,"April 22, 2009",: 7:37am On Oct 26
LORDDICE,https://www.nairaland.com/lorddice,Jos,"February 11, 2015",: 4:48am On Apr 13
ewizard1,https://www.nairaland.com/ewizard1,"Lagos, NG","July 11, 2009",: 7:41am On Jul 22
oyebolasdk,https://www.nairaland.com/oyebolasdk,,"March 16, 2015",: 8:51pm On Aug 17
Netlouis,https://www.nairaland.com/netlouis,,"July 07, 2015",: 12:50am On Jun 29
ejihand1,https://www.nairaland.com/ejihand1,abakaliki ,"April 20, 2013",: 8:16pm On Feb 11
Olumyco,https://www.nairaland.com/olumyco,Lagos,"April 28, 2015",: 3:23pm
ifeoluwasegun,https://www.nairaland.com/ifeoluwasegun,"Abeokuta, Nigeria","July 05, 2012",: 7:53pm On Jul 07
creampassion,https://www.nairaland.com/creampassion,,"December 13, 2013",: 8:02pm On Jul 12
IamWebwiz,https://www.nairaland.com/iamwebwiz,"Lagos, Nigeria","July 19, 2015",: 12:31am On Mar 04
katana,https://www.nairaland.com/katana,,"February 04, 2008",: 9:14am On Apr 22
Ojim07,https://www.nairaland.com/ojim07,,"June 10, 2015",: 1:58pm On Apr 19
olasheny1,https://www.nairaland.com/olasheny1,,"July 25, 2015",: 3:55am On Jul 26
Ennie03,https://www.nairaland.com/ennie03,,"August 01, 2015",: 9:21pm On Jul 19
israelBigFame,https://www.nairaland.com/israelbigfame,"London,Accra","March 14, 2013",: 10:28am On Sep 14
Dailiesroom,https://www.nairaland.com/dailiesroom,,"July 31, 2015",: 8:41am On Feb 21
Zaks0n,https://www.nairaland.com/zaks0n,Kano,"May 30, 2015",: 6:43pm On Apr 07
kapersky,https://www.nairaland.com/kapersky,,"July 25, 2014",: 12:40pm On Feb 08
luthorcorp,https://www.nairaland.com/luthorcorp,,"April 24, 2015",: 6:17pm On Feb 13
Habidab,https://www.nairaland.com/habidab,Nigeria,"November 20, 2011",: 5:03pm On Jun 25
Aloodunayo,https://www.nairaland.com/aloodunayo,,"September 05, 2011",: 1:22am On Jul 23
Kingsonly,https://www.nairaland.com/kingsonly,,"December 09, 2010",: 5:33pm On Feb 04
Omari88,https://www.nairaland.com/omari88,,"October 02, 2014",: 10:47am On Jul 06
qidos121,https://www.nairaland.com/qidos121,,"August 17, 2015",: 6:24pm On Feb 25
desy24444,https://www.nairaland.com/desy24444,,"November 13, 2013",: 2:53pm On Dec 05
benetech,https://www.nairaland.com/benetech,,"August 17, 2015",: 10:05pm On Sep 24
Jarchi,https://www.nairaland.com/jarchi,https://youtu.be/vIMObHxk_-0,"November 20, 2013",: 9:29pm On Jul 22
fromnigeria,https://www.nairaland.com/fromnigeria,South-South,"December 14, 2014",: 4:39pm On Feb 22
IamNat,https://www.nairaland.com/iamnat,,"September 05, 2015",: 7:52am
kinghacker,https://www.nairaland.com/kinghacker,,"September 06, 2015",: 3:13pm On Feb 05
mexzony,https://www.nairaland.com/mexzony,,"July 30, 2009",: 8:16pm On Apr 25
chrisley024,https://www.nairaland.com/chrisley024,,"February 27, 2012",: 3:16pm
smobnology,https://www.nairaland.com/smobnology,Nigeria,"July 07, 2015",: 2:03pm On Feb 02
kennykendo,https://www.nairaland.com/kennykendo,Some place safe,"June 12, 2013",: 11:55pm On May 23
Sleekshady,https://www.nairaland.com/sleekshady,Nigeria,"October 16, 2011",: 3:37pm On Jul 24
datoms,https://www.nairaland.com/datoms,,"September 11, 2015",: 5:43pm On Apr 18
kasonud,https://www.nairaland.com/kasonud,,"June 13, 2009",: 8:49am On Jul 17
Omosilade,https://www.nairaland.com/omosilade,,"August 30, 2007",: 12:30am On May 30
phrezzz,https://www.nairaland.com/phrezzz,Africa,"May 16, 2013",: 1:47pm
Dumken,https://www.nairaland.com/dumken,,"February 07, 2012",: 6:07am On Oct 11
Topmaike007,https://www.nairaland.com/topmaike007,,"June 11, 2015",: 3:35pm
gorgeousnogo,https://www.nairaland.com/gorgeousnogo,Nigeria,"October 06, 2011",: 10:15pm On Jul 17
halmat,https://www.nairaland.com/halmat,,"June 20, 2013",: 2:59pm
deondazy,https://www.nairaland.com/deondazy,PHC,"January 04, 2014",: 10:20am On Jul 07
maria008,https://www.nairaland.com/maria008,,"May 30, 2015",: 6:50pm On Sep 23
bchi,https://www.nairaland.com/bchi,Lagos,"March 16, 2015",: 8:01pm On Aug 08
Ugmayor,https://www.nairaland.com/ugmayor,,"February 11, 2013",: 4:50pm On Apr 12
Vertch,https://www.nairaland.com/vertch,,"April 10, 2015",: 2:04pm On Nov 20
onlyforchrist,https://www.nairaland.com/onlyforchrist,,"March 19, 2015",: 3:01pm On May 10
Jobs012,https://www.nairaland.com/jobs012,,"August 24, 2014",: 11:43am On Oct 03
jessetom,https://www.nairaland.com/jessetom,Warri ,"October 28, 2013",: 10:30am On Jul 04
Meklex,https://www.nairaland.com/meklex,where dreams come true. ,"September 14, 2009",: 2:55pm
Supermiy,https://www.nairaland.com/supermiy,Earth,"February 14, 2015",: 9:36pm On Dec 07
Ignaz,https://www.nairaland.com/ignaz,,"September 02, 2015",: 3:53am On Aug 05
Dlee1,https://www.nairaland.com/dlee1,"Anambra State, Nigeria","May 21, 2011",: 12:08am On Jul 22
fsho,https://www.nairaland.com/fsho,Parallel universe,"December 11, 2014",: 2:46pm
Hibrahym,https://www.nairaland.com/hibrahym,,"November 26, 2009",: 10:59pm On May 29
checkmateman,https://www.nairaland.com/checkmateman,,"August 26, 2014",: 5:01pm On Jul 16
Roks,https://www.nairaland.com/roks,,"October 19, 2015",: 5:18am On Nov 09
fortunes0215,https://www.nairaland.com/fortunes0215,,"October 06, 2014",: 5:19pm On May 18
decide,https://www.nairaland.com/decide,,"July 01, 2014",: 3:34pm
macjireh,https://www.nairaland.com/macjireh,,"June 29, 2013",: 1:17pm
kevoh,https://www.nairaland.com/kevoh,Alternate Universe,"September 16, 2008",: 3:09pm
liliian,https://www.nairaland.com/liliian,,"October 23, 2015",: 5:24pm On Nov 18
jaegermesiter,https://www.nairaland.com/jaegermesiter,,"September 19, 2015",: 2:32pm On Mar 08
abenmariem,https://www.nairaland.com/abenmariem,,"June 16, 2015",: 10:29am On Aug 18
omoladeazeez,https://www.nairaland.com/omoladeazeez,,"October 28, 2015",: 8:49am On Aug 21
uchedotphp,https://www.nairaland.com/uchedotphp,,"November 04, 2015",: 1:18pm On Apr 24
5voteks,https://www.nairaland.com/5voteks,,"November 06, 2015",: 9:22am On Dec 20
Software202,https://www.nairaland.com/software202,Lagos,"October 23, 2015",: 11:16am On Aug 12
Redfox,https://www.nairaland.com/redfox,Ph-Lagos,"August 05, 2008",: 11:50am On Jul 05
JoshRDWM,https://www.nairaland.com/joshrdwm,"Seattle, WA","November 12, 2015",: 3:41am On Nov 13
nic121,https://www.nairaland.com/nic121,nigeria,"February 08, 2007",: 7:25am On May 17
redtomato8318,https://www.nairaland.com/redtomato8318,,"November 18, 2015",: 9:52am On Nov 18
Alexyswiss,https://www.nairaland.com/alexyswiss,Kaduna,"November 05, 2013",: 8:06pm On May 08
RoyalBlak007,https://www.nairaland.com/royalblak007,Nigeria,"June 30, 2014",: 12:01pm On Dec 25
kidamoses1,https://www.nairaland.com/kidamoses1,,"December 02, 2015",: 4:01pm On Dec 08
hamdarquine,https://www.nairaland.com/hamdarquine,,"April 10, 2013",: 4:29pm On Jan 06
frankfela45,https://www.nairaland.com/frankfela45,,"December 04, 2015",: 1:13pm On Feb 20
deardevil,https://www.nairaland.com/deardevil,,"December 27, 2012",: 3:16pm
zubysnook,https://www.nairaland.com/zubysnook,,"October 09, 2014",: 5:35pm On May 10
ANTONINEUTRON,https://www.nairaland.com/antonineutron,Front Of U: Ur ISP can always show u my location. And it just did!!,"October 22, 2015",: 7:14pm On Jul 23
dxpat4reel,https://www.nairaland.com/dxpat4reel,,"March 02, 2010",: 7:51pm On Oct 05
ezeking,https://www.nairaland.com/ezeking,,"September 28, 2006",: 1:06pm On Dec 19
Cfaird,https://www.nairaland.com/cfaird,Abuja,"December 16, 2015",: 10:36pm On Aug 07
samhapy,https://www.nairaland.com/samhapy,Lagos,"June 08, 2013",: 6:09pm On Jun 23
greatguru22,https://www.nairaland.com/greatguru22,,"April 18, 2015",: 9:42pm On Apr 29
bayoFCS,https://www.nairaland.com/bayofcs,,"December 25, 2015",: 2:50pm On Dec 05
SirChides,https://www.nairaland.com/sirchides,,"September 04, 2013",: 4:41am On Jan 17
PModes,https://www.nairaland.com/pmodes,abuja,"September 23, 2015",: 8:19pm On Aug 15
AyeshS,https://www.nairaland.com/ayeshs,,"December 25, 2015",: 7:39pm On Dec 30
Mathemagician1,https://www.nairaland.com/mathemagician1,Lagos,"November 16, 2015",: 12:12pm On Sep 13
mrcobuh,https://www.nairaland.com/mrcobuh,,"December 31, 2015",: 3:33pm On Jul 28
seunny4lif,https://www.nairaland.com/seunny4lif,Behind you ,"December 04, 2008",: 1:50pm
Bollinger,https://www.nairaland.com/bollinger,Okokomaiko,"August 22, 2012",: 8:54pm On Dec 29
darkhorizon,https://www.nairaland.com/darkhorizon,,"July 21, 2015",: 6:56am On Jul 22
Ymodulus,https://www.nairaland.com/ymodulus,,"November 12, 2010",: 11:26pm On Oct 07
Mich43l,https://www.nairaland.com/mich43l,,"January 12, 2016",: 11:07am On Jun 09
Doyin2016,https://www.nairaland.com/doyin2016,,"January 14, 2016",: 7:51pm On Jun 08
sanmy,https://www.nairaland.com/sanmy,,"January 29, 2008",: 10:13am On Apr 06
isidollarboy,https://www.nairaland.com/isidollarboy,,"June 09, 2012",: 5:59am On Jul 24
conyema12,https://www.nairaland.com/conyema12,,"February 27, 2012",: 9:09am
mobaladf,https://www.nairaland.com/mobaladf,,"January 01, 2016",: 12:35pm On Jan 21
sinequanon,https://www.nairaland.com/sinequanon,,"April 27, 2007",: 11:33pm On Jul 06
Ruletown,https://www.nairaland.com/ruletown,,"January 23, 2016",: 12:33am On Jan 18
avidmaverick,https://www.nairaland.com/avidmaverick,Lagos,"February 21, 2013",: 10:49pm On Aug 27
Ayets,https://www.nairaland.com/ayets,Lagos,"August 20, 2012",: 12:12pm On Jul 10
exxy,https://www.nairaland.com/exxy,"Bronx,NYC","June 28, 2014",: 6:15am On Jul 01
frankdupree,https://www.nairaland.com/frankdupree,,"July 02, 2014",: 9:15am On Dec 05
mikrizz,https://www.nairaland.com/mikrizz,,"March 11, 2015",: 11:32am On Mar 21
binarykid,https://www.nairaland.com/binarykid,,"August 15, 2015",: 10:56pm On Jan 23
WafiJoe,https://www.nairaland.com/wafijoe,Nigeria,"July 15, 2007",: 6:16pm On Mar 01
severus,https://www.nairaland.com/severus,,"November 27, 2013",: 10:00pm On Feb 18
shootingstar,https://www.nairaland.com/shootingstar,,"January 23, 2013",: 12:12am On Feb 05
jayriginal,https://www.nairaland.com/jayriginal,,"October 11, 2010",: 8:42pm On Jan 17
Orinameh,https://www.nairaland.com/orinameh,,"July 09, 2014",: 5:05pm On Jan 09
horrpeyemi,https://www.nairaland.com/horrpeyemi,,"June 30, 2014",: 3:43am On Oct 18
cridols,https://www.nairaland.com/cridols,,"August 09, 2010",: 11:19am On Mar 30
Realrex,https://www.nairaland.com/realrex,Port Harcourt ,"September 05, 2011",: 12:39pm On Jul 24
rahman3853,https://www.nairaland.com/rahman3853,"3rd Avenue, Gwarinpa, Abuja","September 30, 2007",: 1:25pm On Mar 15
younghero2,https://www.nairaland.com/younghero2,,"December 18, 2015",: 4:02am On Jun 06
danidee10,https://www.nairaland.com/danidee10,why you dey find me?,"February 15, 2015",: 9:20am On Jan 20
webdevgod,https://www.nairaland.com/webdevgod,LONDON,"February 25, 2016",: 12:03am On Aug 15
Richnero,https://www.nairaland.com/richnero,"Lagos, Nigeria","October 19, 2015",: 3:07pm
ashquin90,https://www.nairaland.com/ashquin90,,"March 06, 2016",: 6:28pm On Mar 06
femarse,https://www.nairaland.com/femarse,,"March 02, 2013",: 1:54pm
tuzle,https://www.nairaland.com/tuzle,lagos,"July 23, 2015",: 2:58pm
AnthonyAk,https://www.nairaland.com/anthonyak,,"December 01, 2008",: 2:29pm
eworm,https://www.nairaland.com/eworm,,"October 23, 2015",: 9:05am On Jun 29
imocheezy,https://www.nairaland.com/imocheezy,,"August 30, 2014",: 9:23am On Jul 03
Danobal,https://www.nairaland.com/danobal,,"March 13, 2016",: 5:08pm On Aug 11
lyandre,https://www.nairaland.com/lyandre,,"January 26, 2015",: 9:43pm On Apr 15
techthought,https://www.nairaland.com/techthought,,"March 16, 2016",: 12:06pm On Nov 08
seanblaise,https://www.nairaland.com/seanblaise,Everywhere at anytime,"September 20, 2013",: 6:51pm On Sep 29
pcwizzy,https://www.nairaland.com/pcwizzy,,"September 18, 2014",: 9:58am
komo1,https://www.nairaland.com/komo1,,"July 18, 2015",: 5:56pm On Jul 16
engineerjimmy,https://www.nairaland.com/engineerjimmy,,"March 06, 2012",: 1:37am On Nov 28
easy2conet,https://www.nairaland.com/easy2conet,LAGOS STATE,"March 17, 2009",: 7:19am On Feb 10
JackAlen,https://www.nairaland.com/jackalen,New York,"April 07, 2016",: 7:08am On Apr 07
ekumahost,https://www.nairaland.com/ekumahost,,"October 28, 2009",: 2:26pm On Aug 19
iyb,https://www.nairaland.com/iyb,Nottingham United Kingdom,"January 08, 2011",: 8:58am
melodyafsana,https://www.nairaland.com/melodyafsana,,"April 10, 2016",: 4:06pm On Jul 27
Siryuswab,https://www.nairaland.com/siryuswab,"Shaki, oyo state ","December 17, 2014",: 10:27am On Oct 20
Dhayour609,https://www.nairaland.com/dhayour609,port Harcourt,"July 27, 2015",: 12:05am On Jun 11
Prosper080,https://www.nairaland.com/prosper080,,"April 20, 2016",: 11:02am On Apr 20
Jephery,https://www.nairaland.com/jephery,Nigeria,"May 17, 2009",: 2:23pm On Aug 26
McTobe,https://www.nairaland.com/mctobe,,"July 31, 2015",: 10:28am
dharmhie,https://www.nairaland.com/dharmhie,"shasha, akowonjo, lagos Nigeria.","December 31, 2010",: 8:58am
calculator123,https://www.nairaland.com/calculator123,Bariga,"November 06, 2014",: 10:40am On Jul 24
Janyves,https://www.nairaland.com/janyves,,"November 23, 2013",: 10:05pm On Jul 24
africanman85,https://www.nairaland.com/africanman85,,"December 04, 2014",: 8:57pm On Jul 18
xalamblixx,https://www.nairaland.com/xalamblixx,,"May 14, 2016",: 2:49pm On Jan 27
codephantom,https://www.nairaland.com/codephantom,ibadan,"September 25, 2015",: 9:19am On Apr 08
macaranta,https://www.nairaland.com/macaranta,Nigeria,"September 30, 2015",: 3:40pm
whitesunshine,https://www.nairaland.com/whitesunshine,,"May 19, 2016",: 11:39pm On Nov 11
privatetisa,https://www.nairaland.com/privatetisa,"Lagos, Nigeria","June 16, 2013",: 11:00pm On Aug 09
NLjona,https://www.nairaland.com/nljona,PH,"July 04, 2015",: 6:04pm On Aug 04
nauman673,https://www.nairaland.com/nauman673,,"May 23, 2016",: 3:12pm On Jun 03
sayyid,https://www.nairaland.com/sayyid,Ilorin ,"October 24, 2012",: 12:51pm
Ebenezer9,https://www.nairaland.com/ebenezer9,,"August 06, 2012",: 1:56pm On Aug 30
charger025,https://www.nairaland.com/charger025,,"May 27, 2016",: 7:49pm On May 27
pythonrules,https://www.nairaland.com/pythonrules,,"May 31, 2016",: 6:54pm On May 31
Euroadams,https://www.nairaland.com/euroadams,,"January 09, 2012",: 10:57am On May 31
creamyworkz,https://www.nairaland.com/creamyworkz,,"September 18, 2015",: 8:38pm On Aug 06
Dreadlord,https://www.nairaland.com/dreadlord,,"August 28, 2015",: 5:29pm On Jun 05
PharmAlfred,https://www.nairaland.com/pharmalfred,,"June 05, 2015",: 1:16pm
classicpsalmzy,https://www.nairaland.com/classicpsalmzy,,"June 10, 2016",: 2:59pm On Jun 14
Collinz2,https://www.nairaland.com/collinz2,Wuhan,"July 16, 2014",: 3:44pm On Jul 24
D34lw4p,https://www.nairaland.com/d34lw4p,India,"July 27, 2015",: 12:28am
stack1,https://www.nairaland.com/stack1,,"June 17, 2016",: 1:48am On Jun 17
PaulErungworo,https://www.nairaland.com/paulerungworo,,"December 06, 2014",: 11:25pm On Mar 02
Mrluv,https://www.nairaland.com/mrluv,,"September 22, 2013",: 1:16pm On Jul 22
sammymoney,https://www.nairaland.com/sammymoney,,"May 29, 2011",: 7:17pm On Feb 06
francollimasso,https://www.nairaland.com/francollimasso,,"December 04, 2014",: 11:12am On Mar 27
noordean,https://www.nairaland.com/noordean,Lagos,"June 27, 2014",: 6:59am On Jun 03
Thecarisma,https://www.nairaland.com/thecarisma,Lagos,"June 23, 2016",: 8:13pm On Aug 08
adejumoadeoluwa,https://www.nairaland.com/adejumoadeoluwa,Nairaland,"December 22, 2013",: 3:40pm On Feb 09
Alexander1370,https://www.nairaland.com/alexander1370,Calabar,"June 25, 2016",: 8:56am On Sep 10
khattab008,https://www.nairaland.com/khattab008,,"August 04, 2010",: 2:55pm
efeblin,https://www.nairaland.com/efeblin,,"August 23, 2013",: 5:59pm On Jun 24
badthinds,https://www.nairaland.com/badthinds,Naija,"December 11, 2015",: 9:04pm On Jul 14
Anmich,https://www.nairaland.com/anmich,,"May 31, 2015",: 4:30am On Oct 05
talk214,https://www.nairaland.com/talk214,,"July 06, 2016",: 4:50am On Apr 21
onedayatime,https://www.nairaland.com/onedayatime,ijebu,"January 08, 2013",: 10:35am
obibanks,https://www.nairaland.com/obibanks,,"April 08, 2012",: 11:01am On Jul 12
luben,https://www.nairaland.com/luben,,"July 02, 2016",: 2:23pm On Apr 19
shalyboye,https://www.nairaland.com/shalyboye,,"February 11, 2013",: 9:21am On Jul 18
stchrischu00,https://www.nairaland.com/stchrischu00,,"February 04, 2016",: 4:57pm On Dec 30
godofbrowser,https://www.nairaland.com/godofbrowser,"Lagos, Nigeria","April 18, 2016",: 11:45pm On Jan 16
furthest,https://www.nairaland.com/furthest,Earth,"May 11, 2016",: 9:00pm On Feb 07
Booyakasha,https://www.nairaland.com/booyakasha,"Chesterfield, Derbyshire, UK","March 11, 2015",: 12:59pm On Dec 27
Stevenbright,https://www.nairaland.com/stevenbright,Nigeria,"July 17, 2016",: 2:49pm
teeecode,https://www.nairaland.com/teeecode,,"August 03, 2016",: 8:23pm On Aug 14
TrueHeart365,https://www.nairaland.com/trueheart365,Lagos. Nigeria,"April 25, 2016",: 4:30pm On May 05
MrKamar,https://www.nairaland.com/mrkamar,Lagos Nigeria,"May 27, 2016",: 3:56am On Jun 25
Olamzy001,https://www.nairaland.com/olamzy001,,"November 07, 2015",: 11:18pm On Jul 28
neightman,https://www.nairaland.com/neightman,,"February 08, 2008",: 7:07am On Jun 12
hanif5525,https://www.nairaland.com/hanif5525,"dhaka,Bangladesh","August 13, 2016",: 10:37am On Feb 06
Jozebrain,https://www.nairaland.com/jozebrain,,"July 24, 2016",: 10:08am On Dec 31
pwetie,https://www.nairaland.com/pwetie,,"August 16, 2016",: 9:57am On Apr 07
KvnqPrezo,https://www.nairaland.com/kvnqprezo,Abuja,"June 19, 2016",: 5:23pm On Aug 04
donzi,https://www.nairaland.com/donzi,Anambra,"September 01, 2015",: 1:55pm On Jul 21
Charmander,https://www.nairaland.com/charmander,,"December 09, 2015",: 1:10am On Oct 16
timothyuche1,https://www.nairaland.com/timothyuche1,,"January 09, 2014",: 7:52am
heywhy824,https://www.nairaland.com/heywhy824,,"April 15, 2016",: 2:06pm On Mar 31
Jonart247,https://www.nairaland.com/jonart247,,"August 12, 2016",: 10:55pm On Jan 27
2nioshine,https://www.nairaland.com/2nioshine,Nigeria,"December 22, 2012",: 11:38pm On Jun 30
collinic,https://www.nairaland.com/collinic,,"November 05, 2012",: 4:56pm On Mar 16
moshoodn,https://www.nairaland.com/moshoodn,"Planet Xylics. . . .my self made planet, where security is so tight; my powerful 6.2Gigawatts laser beam sweeps my 8 miles radius perimeter. ","June 21, 2007",: 10:24pm On Jul 24
melodyogonna,https://www.nairaland.com/melodyogonna,In front of my computer,"March 11, 2016",: 10:38am
haryormeedeh,https://www.nairaland.com/haryormeedeh,,"November 08, 2013",: 9:35am On Aug 02
abimic,https://www.nairaland.com/abimic,Lasgidi,"November 19, 2013",: 8:45am
wocel,https://www.nairaland.com/wocel,abuja,"September 12, 2016",: 2:21pm On Oct 28
elvision1,https://www.nairaland.com/elvision1,Lagos,"August 01, 2012",: 5:02pm On Jul 20
galantjoe,https://www.nairaland.com/galantjoe,,"August 06, 2013",: 8:09am
Hallenjay,https://www.nairaland.com/hallenjay,Universe,"March 29, 2015",: 11:15pm On Jul 11
heypex,https://www.nairaland.com/heypex,,"September 22, 2016",: 9:56pm On Nov 16
ChairmanOla,https://www.nairaland.com/chairmanola,,"September 26, 2016",: 1:45pm On Jun 29
